-0.5296249,-0.2496721,2.26385
-0.5462883,-0.2043731,2.241461
-0.6258823,0.01849164,2.144497
-0.7015095,0.1822507,2.05841
-0.7278995,-0.09379379,2.11156
-0.6962315,-0.2402313,2.239712
-0.4062891,-0.2344232,2.210238
-0.322454,-0.2544225,2.199997
-0.4760875,0.08204961,2.192365
-0.2924454,0.06368853,2.366281
-0.2056152,-0.1389869,2.336447
-0.1766718,-0.2065453,2.330852
-0.5752695,-0.3431702,2.260154
-0.8790659,-0.5840272,2.244769
-0.7681897,-0.917868,2.199036
-0.7347883,-0.9630156,2.12802
-0.4434271,-0.2865541,2.316324
-0.1274734,-0.5079245,2.264826
-0.1185423,-0.8062934,2.213358
-0.1752422,-0.8887648,2.242073
